Bandit,Reward,Algorithm
2.0,2.0737879515294804,ThompsonSampling
2.0,1.984944642907671,ThompsonSampling
2.0,3.0714245953583994,ThompsonSampling
2.0,2.06099112245724,ThompsonSampling
2.0,4.084538679108368,ThompsonSampling
2.0,3.827831875856895,ThompsonSampling
2.0,3.1383321098048835,ThompsonSampling
2.0,5.205737601897911,ThompsonSampling
2.0,1.742401149582542,ThompsonSampling
2.0,2.926134512441916,ThompsonSampling
2.0,2.4733629568477995,ThompsonSampling
2.0,2.827922162545164,ThompsonSampling
2.0,3.7871658880748655,ThompsonSampling
2.0,3.715349128136,ThompsonSampling
2.0,5.221174882030386,ThompsonSampling
2.0,2.637167307597988,ThompsonSampling
2.0,4.516991817720937,ThompsonSampling
2.0,3.6610128488402816,ThompsonSampling
2.0,4.723444658533035,ThompsonSampling
2.0,4.612691178205937,ThompsonSampling
2.0,3.672503027379488,ThompsonSampling
2.0,3.0822252396240817,ThompsonSampling
2.0,2.062040765160099,ThompsonSampling
2.0,3.4226273887703003,ThompsonSampling
2.0,4.740034034473167,ThompsonSampling
2.0,2.6986995602932997,ThompsonSampling
2.0,1.0589400870290022,ThompsonSampling
2.0,2.8711406548918146,ThompsonSampling
2.0,4.222375927034692,ThompsonSampling
2.0,4.510062549354053,ThompsonSampling
2.0,4.171572112518754,ThompsonSampling
2.0,2.6110067137077446,ThompsonSampling
2.0,3.484401330917621,ThompsonSampling
2.0,3.3387973411726657,ThompsonSampling
2.0,3.0707395532485218,ThompsonSampling
2.0,1.3609078626832927,ThompsonSampling
2.0,2.8795945341811215,ThompsonSampling
2.0,3.170549274647463,ThompsonSampling
2.0,3.652256964499192,ThompsonSampling
2.0,1.7870561384508752,ThompsonSampling
2.0,3.8751168318938216,ThompsonSampling
2.0,2.7341336842380466,ThompsonSampling
2.0,2.205541100733323,ThompsonSampling
2.0,2.319706661083444,ThompsonSampling
2.0,4.442216193339392,ThompsonSampling
2.0,1.9932516514505614,ThompsonSampling
2.0,2.0447375945992654,ThompsonSampling
2.0,2.929706041858507,ThompsonSampling
2.0,3.8317060115843007,ThompsonSampling
2.0,2.0958932220877937,ThompsonSampling
2.0,3.520673228659903,ThompsonSampling
2.0,2.5506247426530364,ThompsonSampling
2.0,2.234765074706444,ThompsonSampling
2.0,2.560773660088181,ThompsonSampling
2.0,4.197234218985952,ThompsonSampling
2.0,4.051002777454673,ThompsonSampling
2.0,3.0957812280786996,ThompsonSampling
2.0,2.338694512546317,ThompsonSampling
2.0,2.1852634600617993,ThompsonSampling
2.0,3.52520646799568,ThompsonSampling
2.0,4.116671014102106,ThompsonSampling
2.0,2.5822118356276316,ThompsonSampling
2.0,1.7978015353708625,ThompsonSampling
2.0,2.8859706733887918,ThompsonSampling
2.0,3.010384000351965,ThompsonSampling
2.0,3.76891588127179,ThompsonSampling
2.0,3.5097496471956253,ThompsonSampling
2.0,3.2525641900598643,ThompsonSampling
2.0,2.949208285643989,ThompsonSampling
2.0,1.2082386539858114,ThompsonSampling
2.0,2.2682094116491434,ThompsonSampling
2.0,3.354949574431507,ThompsonSampling
2.0,2.5714064620346764,ThompsonSampling
2.0,4.136129837942897,ThompsonSampling
2.0,0.859860726885556,ThompsonSampling
2.0,4.607253933346657,ThompsonSampling
2.0,3.2458260496365874,ThompsonSampling
2.0,2.544125180522218,ThompsonSampling
2.0,3.853897446394225,ThompsonSampling
2.0,2.3774227145278872,ThompsonSampling
2.0,1.4941876432716845,ThompsonSampling
2.0,1.0251159392538438,ThompsonSampling
2.0,3.2869015951235063,ThompsonSampling
2.0,2.425642269942594,ThompsonSampling
2.0,2.962251925931946,ThompsonSampling
2.0,2.7674418564183556,ThompsonSampling
2.0,3.621106032675585,ThompsonSampling
2.0,5.071422974467679,ThompsonSampling
2.0,3.3299983768428967,ThompsonSampling
2.0,3.2020252039198223,ThompsonSampling
2.0,4.877288676799225,ThompsonSampling
2.0,2.148901711580012,ThompsonSampling
2.0,2.631915356903227,ThompsonSampling
2.0,3.9722138548160357,ThompsonSampling
2.0,2.651353689411935,ThompsonSampling
2.0,4.23007420945153,ThompsonSampling
2.0,2.0656118239908126,ThompsonSampling
2.0,4.617892648950012,ThompsonSampling
2.0,2.7855175379407155,ThompsonSampling
2.0,3.4593846299739757,ThompsonSampling
2.0,4.541537643956261,ThompsonSampling
2.0,5.068986411525106,ThompsonSampling
2.0,3.296700057711403,ThompsonSampling
2.0,2.6652795122359834,ThompsonSampling
2.0,2.6410297374778784,ThompsonSampling
2.0,1.621788029066266,ThompsonSampling
2.0,2.7698677940614,ThompsonSampling
2.0,2.697502046634726,ThompsonSampling
2.0,2.996312139452086,ThompsonSampling
2.0,4.6025605750871,ThompsonSampling
2.0,2.3501707556405527,ThompsonSampling
2.0,3.4703664937787835,ThompsonSampling
2.0,3.351672004413156,ThompsonSampling
2.0,4.238785639371268,ThompsonSampling
2.0,1.2297154490065345,ThompsonSampling
2.0,3.757942779387775,ThompsonSampling
2.0,4.260381774216541,ThompsonSampling
2.0,2.9334114824138093,ThompsonSampling
2.0,3.497757178589282,ThompsonSampling
2.0,3.542095165514861,ThompsonSampling
2.0,2.897638311724036,ThompsonSampling
2.0,0.7790384197081721,ThompsonSampling
2.0,1.677206916830423,ThompsonSampling
2.0,3.0885179295072085,ThompsonSampling
2.0,0.7389755428705356,ThompsonSampling
2.0,2.986321785746673,ThompsonSampling
2.0,2.153295047886165,ThompsonSampling
2.0,4.193585573383348,ThompsonSampling
2.0,3.7417445389625317,ThompsonSampling
2.0,2.63054685676582,ThompsonSampling
2.0,2.2430239796966256,ThompsonSampling
2.0,3.689085788123738,ThompsonSampling
2.0,3.591747915487481,ThompsonSampling
2.0,4.317263968979824,ThompsonSampling
2.0,2.0259416518875217,ThompsonSampling
2.0,2.214458150776258,ThompsonSampling
2.0,3.921138628365261,ThompsonSampling
2.0,2.213777937164055,ThompsonSampling
2.0,1.4874707114580008,ThompsonSampling
2.0,3.0628585059904903,ThompsonSampling
2.0,3.6033961926718057,ThompsonSampling
2.0,2.2379053206509973,ThompsonSampling
2.0,2.0931747478426574,ThompsonSampling
2.0,2.6801012362650396,ThompsonSampling
2.0,4.937762183874076,ThompsonSampling
2.0,2.643753729105187,ThompsonSampling
2.0,2.2783950399170734,ThompsonSampling
2.0,3.0107118938415094,ThompsonSampling
2.0,3.077619783012274,ThompsonSampling
2.0,4.0769879932864725,ThompsonSampling
2.0,0.4102938729910175,ThompsonSampling
2.0,3.9263195040048173,ThompsonSampling
2.0,2.181395526025111,ThompsonSampling
2.0,1.306456992509768,ThompsonSampling
2.0,4.050426429421021,ThompsonSampling
2.0,1.2918867820197966,ThompsonSampling
2.0,2.871964685402317,ThompsonSampling
2.0,4.59465365773901,ThompsonSampling
2.0,2.929608940460049,ThompsonSampling
2.0,3.6047723888457104,ThompsonSampling
2.0,3.7577531651414087,ThompsonSampling
2.0,3.2514221925727513,ThompsonSampling
2.0,2.1554348544446933,ThompsonSampling
2.0,2.2310717969213414,ThompsonSampling
2.0,1.9882301895053587,ThompsonSampling
2.0,2.342328771339308,ThompsonSampling
2.0,1.966313426174219,ThompsonSampling
2.0,1.6806063673506864,ThompsonSampling
2.0,1.745497991476568,ThompsonSampling
2.0,3.195519323375167,ThompsonSampling
2.0,4.088327695953074,ThompsonSampling
2.0,2.8394997027881397,ThompsonSampling
2.0,3.519107776607816,ThompsonSampling
2.0,3.4076405786138864,ThompsonSampling
2.0,1.4876685870858635,ThompsonSampling
2.0,2.1053983823933753,ThompsonSampling
2.0,3.3348569695727917,ThompsonSampling
2.0,3.2194942096171557,ThompsonSampling
2.0,1.3487043443211304,ThompsonSampling
2.0,2.588120843252278,ThompsonSampling
2.0,3.7862493904433343,ThompsonSampling
2.0,3.204684690502252,ThompsonSampling
2.0,4.086913691748911,ThompsonSampling
